Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
RUS_crimean_war_title;The Crimean War;;;;;;;;;;;;;
RUS_crimean_war_desc;Once again, the negotiations with the Byzantine Empire have broken down, and we are left with no choice but to seize Crimea by force. To arms!;;;;;;;;;;;;;
ADU_reclaim_frontier_title;Reclaim the Frontier;;;;;;;;;;;;;
ADU_reclaim_frontier_desc;During the Great Peninsular War of 1756-1777, the combined Leonese-Occitan armies have overwhelmed the forces of Al-Andalus and pushed us behind the Tagus river. Now, the time has come to cross the wretched river and liberate the Muslims under Spanish rule!;;;;;;;;;;;;;
trapezuntine_tea_title;Trapezuntine Tea;;;;;;;;;;;;;
trapezuntine_tea_desc;Despite the growing popularity of tea in $COUNTRY$, there are no tea producing provinces in our homeland. Now the microclimate region along the eastern coast of the Black Sea was identified by specialists as an ideal spot to start tea production, which will contribute to the task of fulfilling the growing demand for tea by the $COUNTRY_ADJ$ citizens.;;;;;;;;;;;;;
diplomacy_failed;Diplomacy has failed.;;;;;;;;;;;;;
RUS_develop_klyuchevsk_title;Develop Klyuchevsk;;;;;;;;;;;;;
RUS_develop_klyuchevsk_desc;Klyuchevsk, meaning "key town" in Russian, was founded on the Baltic Coast in 1732 in place of the old fortress of Oreshek. It was intended to be the primary Russian port on the Baltic, however, the marshes around the river Neva turned out to be too costly to drain, so the construction was subsequently abandoned and the town remained relatively small. Now, however, we have the necessary technologies to finally bring the city to its intended glory.;;;;;;;;;;;;;
unite_the_yue_title;Unite the Yue;;;;;;;;;;;;;
unite_the_yue_desc;Our Northern neighbours are finally waking up from their slumber. This means that things cannot continue the way they are right now: the division between Nanyue and Minyue must end. We must unify the Yue and create a prosperous realm in the South!;;;;;;;;;;;;;
YUE_annex_taiwan_title;Integrate Taiwan;;;;;;;;;;;;;
YUE_annex_taiwan_desc;When the Ming dynasty fell, the island of Taiwan was seized by imperial loyalists, who established the Tungning kingdom with Koxinga in charge. We have since ignored the island, being content with a simple poorly-enforced blockade on these morons with delusional ideas of 'imperial restoration'. Things are much different now, and we must finally end the status quo and properly integrate the valuable island into our realm.;;;;;;;;;;;;;
YUE_annam_hegemony_title;Hegemony in Annam;;;;;;;;;;;;;
YUE_annam_hegemony_desc;The Kingdom of Nanyue of old held the entirety of modern Tonkin and Annam, enjoying the hegemony over the Gulf of Tonkin and the lucrative trade here. With the Dainamese people being quite culturally similar to us, we can finally finish what was started almost a century ago and incorporate the Nguyen kingdom into our realm.;;;;;;;;;;;;;
YUE_formalize_southern_borders_title;Formalize Southern Borders;;;;;;;;;;;;;
YUE_formalize_southern_borders_desc;Having secured the loyalty of the Dainamese, we may now turn our attention to securing the flanks of our newly-conquered lands. The opportunistic Lao tribes, despite being pushed back significantly, still hold the high ground over Tonkin, and the Dali kings rule over a large amount of Zhuang peoples, who would much rather stay with us.;;;;;;;;;;;;;
YUE_northern_expedition_title;Northern Expedition;;;;;;;;;;;;;
YUE_northern_expedition_desc;Ever since the Han Empire conquered Nanyue and Minyue in the 2nd century BC, the South has been in a subservient position to the emperors of the North. We finally rid ourselves of this status when we broke off from the Shun in the 17th century, and now it is time for the Yue to show the Han that we are a force to be reckoned with. We shall organize a grand expedition to the North and seize the borderlands, where the local Hakka population will surely welcome us.;;;;;;;;;;;;;
YUE_liberate_wu_title;Liberate the Wu;;;;;;;;;;;;;
YUE_liberate_wu_desc;Out of all of the Southern peoples, the Wu have had the weakest national identity of all. Located in lands firmly held by the Shun, who suppressed any notion of distinct national identity, the Wu are mostly content with the current flow of things. We, however, know better: securing at least the southern part of Anhui will bring a significant amount of loyal peoples under our rule and put the major Han city of Nanjing into a vulnerable position, making the Han think twice before attempting to reclaim these lands.;;;;;;;;;;;;;
