Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
PROV3588;Ruidoso;;;;;;;;;;;;
PROV3589;Las Cruces;;;;;;;;;;;;
PROV934;Diwaniyah;;;;;;;;;;;;;
PROV1099;Gyumri;;;;;;;;;;;;;
PROV1105;Gandzak;;;;;;;;;;;;;
PROV1119;Ilam;;;;;;;;;;;;;
PROV1127;Esfahan;;;;;;;;;;;;;
PROV1128;Soltanabad;;;;;;;;;;;;;
PROV1136;Bushehr;;;;;;;;;;;;;
PROV1137;Eqlid;;;;;;;;;;;;;
PROV1138;Bandar-e Kangan;;;;;;;;;;;;;
PROV1141;Bandar-e Lengeh;;;;;;;;;;;;;
PROV1142;Bandar-e 'Abbas;;;;;;;;;;;;;
PROV1144;Faraj;;;;;;;;;;;;;
PROV1145;Bandar-e Jask;;;;;;;;;;;;;
PROV1168;Sharjah;;;;;;;;;;;;;
PROV1204;Ashqabad;;;;;;;;;;;;;
PROV1206;Çärjew;;;;;;;;;;;;;
PROV1207;Dushanbe Qurghon;;;;;;;;;;;;;
PROV1208;Murghob;;;;;;;;;;;;;
PROV1211;Qonduz;;;;;;;;;;;;;
PROV1214;Farah;;;;;;;;;;;;;
PROV1215;Qandahar;;;;;;;;;;;;;
PROV1219;Zhob;;;;;;;;;;;;;
PROV1225;Skardu;;;;;;;;;;;;;
PROV2643;Laristan;;;;;;;;;;;;;
PROV2664;al-Khasab;;;;;;;;;;;;;
PROV3279;Tella;;;;;;;;;;;;;
PROV3292;Fallujah;;;;;;;;;;;;;
PROV3316;Ilisu;;;;;;;;;;;;;
PROV3323;Karimabad;;;;;;;;;;;;;
PROV3325;Suwar;;;;;;;;;;;;;
PROV3348;Xoy;;;;;;;;;;;;;
PROV3350;Qa'in;;;;;;;;;;;;;
PROV3352;Qasr-e Shirin;;;;;;;;;;;;;
PROV3355;Lash wa Juwayn;;;;;;;;;;;;;
PROV3356;Ghoryan;;;;;;;;;;;;;
PROV3386;Shamakhi;;;;;;;;;;;;;
PROV3389;al-Qa'im;;;;;;;;;;;;;
PROV3406;al-Jahra;;;;;;;;;;;;;
PROV3428;Shinaêshush;;;;;;;;;;;;;
PROV3495;Kermanshah;;;;;;;;;;;;;
PROV3496;Jiroft;;;;;;;;;;;;;
PROV3497;Tabas;;;;;;;;;;;;;
PROV3498;Abivard;;;;;;;;;;;;;
PROV3499;PROV3499;;;;;;;;;;;;;
PROV3500;Qochen;;;;;;;;;;;;;
PROV3501;Gonbad-e Kavus;;;;;;;;;;;;;
PROV3502;Dehestan;;;;;;;;;;;;;
PROV3503;Parsabad;;;;;;;;;;;;;
PROV3504;Marand;;;;;;;;;;;;;
PROV3505;Balkhan;;;;;;;;;;;;;
PROV3506;Kharan;;;;;;;;;;;;;
PROV3507;Panjgur;;;;;;;;;;;;;
PROV3508;PROV3508;;;;;;;;;;;;;
PROV3509;Sandak;;;;;;;;;;;;;
PROV3510;Kacchi;;;;;;;;;;;;;
PROV3511;Arakafew;;;;;;;;;;;;;
PROV3512;Bampur;;;;;;;;;;;;;
PROV3513;Lashkargah;;;;;;;;;;;;;
PROV3514;Panjdeh;;;;;;;;;;;;;
PROV3515;Dubai;;;;;;;;;;;;;
PROV3516;Mazar-e Sharif;;;;;;;;;;;;;
PROV3517;Qaleh-ye Panjeh;;;;;;;;;;;;;
PROV3518;Qaleh-ye Wamar;;;;;;;;;;;;;
PROV3519;Kulab;;;;;;;;;;;;;
PROV3520;Gharm;;;;;;;;;;;;;
PROV3521;Qala-i Khumb;;;;;;;;;;;;;
PROV3522;Hissar;;;;;;;;;;;;;
PROV3523;Kafirestan;;;;;;;;;;;;;
PROV3524;Kohistan;;;;;;;;;;;;;
PROV3525;Gilgit;;;;;;;;;;;;;
PROV3526;Baghran;;;;;;;;;;;;;
PROV3527;Tashkurgan;;;;;;;;;;;;;
PROV3537;Rawa;;;;;;;;;;;;;
PROV3536;Bazîd;;;;;;;;;;;;;
PROV3535;Rizoúnta;;;;;;;;;;;;;
